Symbol,Sector,Industry
360ONE.NS,Financial Services,Asset Management
3MINDIA.NS,Industrials,Conglomerates
ABB.NS,Industrials,Specialty Industrial Machinery
ACC.NS,Basic Materials,Building Materials
ACMESOLAR.NS,Utilities,Utilities - Renewable
AIAENG.NS,Industrials,Specialty Industrial Machinery
APLAPOLLO.NS,Basic Materials,Steel
AUBANK.NS,Financial Services,Banks - Regional
AWL.NS,Consumer Defensive,Packaged Foods
AADHARHFC.NS,Financial Services,Mortgage Finance
AARTIIND.NS,Basic Materials,Specialty Chemicals
AAVAS.NS,Financial Services,Mortgage Finance
ABBOTINDIA.NS,Healthcare,Drug Manufacturers - Specialty & Generic
ACE.NS,Industrials,Farm & Heavy Construction Machinery
ADANIENSOL.NS,Utilities,Utilities - Independent Power Producers
ADANIENT.NS,Energy,Thermal Coal
ADANIGREEN.NS,Utilities,Utilities - Renewable
ADANIPORTS.NS,Industrials,Marine Shipping
ADANIPOWER.NS,Utilities,Utilities - Independent Power Producers
ATGL.NS,Utilities,Utilities - Regulated Gas
ABCAPITAL.NS,Financial Services,Financial Conglomerates
ABFRL.NS,Consumer Cyclical,Apparel Manufacturing
ABLBL.NS,Consumer Cyclical,Apparel Retail
ABREL.NS,Basic Materials,Paper & Paper Products
ABSLAMC.NS,Financial Services,Asset Management
AEGISLOG.NS,Energy,Oil & Gas Refining & Marketing
AFCONS.NS,Industrials,Engineering & Construction
AFFLE.NS,Communication Services,Advertising Agencies
AJANTPHARM.NS,Healthcare,Drug Manufacturers - Specialty & Generic
AKUMS.NS,Healthcare,Drug Manufacturers - Specialty & Generic
APLLTD.NS,Healthcare,Drug Manufacturers - Specialty & Generic
ALIVUS.NS,Healthcare,Drug Manufacturers - Specialty & Generic
ALKEM.NS,Healthcare,Drug Manufacturers - Specialty & Generic
ALKYLAMINE.NS,Basic Materials,Specialty Chemicals
ALOKINDS.NS,Consumer Cyclical,Textile Manufacturing
ARE&M.NS,Industrials,Electrical Equipment & Parts
AMBER.NS,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
AMBUJACEM.NS,Unknown,Unknown
ANANDRATHI.NS,Financial Services,Asset Management
ANANTRAJ.NS,Real Estate,Real Estate - Development
ANGELONE.NS,Financial Services,Capital Markets
APARINDS.NS,Industrials,Electrical Equipment & Parts
APOLLOHOSP.NS,Healthcare,Medical Care Facilities
APOLLOTYRE.NS,Consumer Cyclical,Auto Parts
APTUS.NS,Financial Services,Mortgage Finance
ASAHIINDIA.NS,Consumer Cyclical,Auto Parts
ASHOKLEY.NS,Industrials,Farm & Heavy Construction Machinery
ASIANPAINT.NS,Basic Materials,Specialty Chemicals
ASTERDM.NS,Healthcare,Medical Care Facilities
ASTRAZEN.NS,Healthcare,Drug Manufacturers - Specialty & Generic
ASTRAL.NS,Industrials,Building Products & Equipment
ATUL.NS,Basic Materials,Specialty Chemicals
AUROPHARMA.NS,Healthcare,Drug Manufacturers - Specialty & Generic
AIIL.NS,Financial Services,Capital Markets
DMART.NS,Consumer Defensive,Discount Stores
AXISBANK.NS,Financial Services,Banks - Regional
BASF.NS,Basic Materials,Specialty Chemicals
BEML.NS,Industrials,Conglomerates
BLS.NS,Industrials,Specialty Business Services
BSE.NS,Financial Services,Financial Data & Stock Exchanges
BAJAJ-AUTO.NS,Consumer Cyclical,Auto Manufacturers
BAJFINANCE.NS,Financial Services,Credit Services
BAJAJFINSV.NS,Financial Services,Financial Conglomerates
BAJAJHLDNG.NS,Financial Services,Asset Management
BAJAJHFL.NS,Financial Services,Mortgage Finance
BALKRISIND.NS,Consumer Cyclical,Auto Parts
BALRAMCHIN.NS,Consumer Defensive,Confectioners
BANDHANBNK.NS,Financial Services,Banks - Regional
BANKBARODA.NS,Financial Services,Banks - Regional
BANKINDIA.NS,Financial Services,Banks - Regional
MAHABANK.NS,Financial Services,Banks - Regional
BATAINDIA.NS,Consumer Cyclical,Footwear & Accessories
BAYERCROP.NS,Basic Materials,Agricultural Inputs
BERGEPAINT.NS,Basic Materials,Specialty Chemicals
BDL.NS,Industrials,Aerospace & Defense
BEL.NS,Industrials,Aerospace & Defense
BHARATFORG.NS,Unknown,Unknown
BHEL.NS,Industrials,Specialty Industrial Machinery
BPCL.NS,Energy,Oil & Gas Refining & Marketing
BHARTIARTL.NS,Communication Services,Telecom Services
BHARTIHEXA.NS,Communication Services,Telecom Services
BIKAJI.NS,Consumer Defensive,Packaged Foods
BIOCON.NS,Unknown,Unknown
BSOFT.NS,Technology,Information Technology Services
BLUEDART.NS,Industrials,Integrated Freight & Logistics
BLUESTARCO.NS,Industrials,Building Products & Equipment
BBTC.NS,Consumer Defensive,Packaged Foods
BOSCHLTD.NS,Consumer Cyclical,Auto Parts
FIRSTCRY.NS,Consumer Cyclical,Internet Retail
BRIGADE.NS,Real Estate,Real Estate - Development
BRITANNIA.NS,Consumer Defensive,Packaged Foods
MAPMYINDIA.NS,Technology,Software - Infrastructure
CCL.NS,Consumer Defensive,Packaged Foods
CESC.NS,Utilities,Utilities - Regulated Electric
CGPOWER.NS,Industrials,Electrical Equipment & Parts
CRISIL.NS,Financial Services,Financial Data & Stock Exchanges
CAMPUS.NS,Consumer Cyclical,Footwear & Accessories
CANFINHOME.NS,Financial Services,Mortgage Finance
CANBK.NS,Financial Services,Banks - Regional
CAPLIPOINT.NS,Healthcare,Drug Manufacturers - Specialty & Generic
CGCL.NS,Financial Services,Credit Services
CARBORUNIV.NS,Industrials,Conglomerates
CASTROLIND.NS,Energy,Oil & Gas Refining & Marketing
CEATLTD.NS,Consumer Cyclical,Auto Parts
CENTRALBK.NS,Financial Services,Banks - Regional
CDSL.NS,Financial Services,Capital Markets
CENTURYPLY.NS,Basic Materials,Lumber & Wood Production
CERA.NS,Industrials,Building Products & Equipment
CHALET.NS,Consumer Cyclical,Lodging
CHAMBLFERT.NS,Basic Materials,Agricultural Inputs
CHENNPETRO.NS,Energy,Oil & Gas Refining & Marketing
CHOLAHLDNG.NS,Financial Services,Credit Services
CHOLAFIN.NS,Financial Services,Credit Services
CIPLA.NS,Healthcare,Drug Manufacturers - Specialty & Generic
CUB.NS,Financial Services,Banks - Regional
CLEAN.NS,Basic Materials,Specialty Chemicals
COALINDIA.NS,Energy,Thermal Coal
COCHINSHIP.NS,Industrials,Aerospace & Defense
COFORGE.NS,Technology,Information Technology Services
COHANCE.NS,Healthcare,Drug Manufacturers - Specialty & Generic
COLPAL.NS,Consumer Defensive,Household & Personal Products
CAMS.NS,Technology,Information Technology Services
CONCORDBIO.NS,Healthcare,Biotechnology
CONCOR.NS,Industrials,Railroads
COROMANDEL.NS,Basic Materials,Agricultural Inputs
CRAFTSMAN.NS,Consumer Cyclical,Auto Parts
CREDITACC.NS,Financial Services,Credit Services
CROMPTON.NS,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
CUMMINSIND.NS,Industrials,Specialty Industrial Machinery
CYIENT.NS,Industrials,Conglomerates
DCMSHRIRAM.NS,Industrials,Conglomerates
DLF.NS,Real Estate,Real Estate - Development
DOMS.NS,Industrials,Business Equipment & Supplies
DABUR.NS,Consumer Defensive,Household & Personal Products
DALBHARAT.NS,Basic Materials,Building Materials
DATAPATTNS.NS,Industrials,Aerospace & Defense
DEEPAKFERT.NS,Basic Materials,Chemicals
DEEPAKNTR.NS,Basic Materials,Chemicals
DELHIVERY.NS,Industrials,Integrated Freight & Logistics
DEVYANI.NS,Consumer Cyclical,Restaurants
DIVISLAB.NS,Healthcare,Drug Manufacturers - Specialty & Generic
DIXON.NS,Technology,Consumer Electronics
LALPATHLAB.NS,Healthcare,Diagnostics & Research
DRREDDY.NS,Healthcare,Drug Manufacturers - Specialty & Generic
DUMMYRAYMN.NS,Unknown,Unknown
EIDPARRY.NS,Basic Materials,Agricultural Inputs
EIHOTEL.NS,Consumer Cyclical,Lodging
EICHERMOT.NS,Consumer Cyclical,Auto Manufacturers
ELECON.NS,Industrials,Specialty Industrial Machinery
ELGIEQUIP.NS,Industrials,Specialty Industrial Machinery
EMAMILTD.NS,Consumer Defensive,Household & Personal Products
EMCURE.NS,Healthcare,Drug Manufacturers - Specialty & Generic
ENDURANCE.NS,Consumer Cyclical,Auto Parts
ENGINERSIN.NS,Industrials,Engineering & Construction
ERIS.NS,Healthcare,Drug Manufacturers - Specialty & Generic
ESCORTS.NS,Industrials,Farm & Heavy Construction Machinery
ETERNAL.NS,Consumer Cyclical,Internet Retail
EXIDEIND.NS,Consumer Cyclical,Auto Parts
NYKAA.NS,Consumer Cyclical,Internet Retail
FEDERALBNK.NS,Financial Services,Banks - Regional
FACT.NS,Basic Materials,Agricultural Inputs
FINCABLES.NS,Industrials,Electrical Equipment & Parts
FINPIPE.NS,Industrials,Building Products & Equipment
FSL.NS,Unknown,Unknown
FIVESTAR.NS,Financial Services,Credit Services
FORTIS.NS,Healthcare,Medical Care Facilities
GAIL.NS,Utilities,Utilities - Regulated Gas
GVT&D.NS,Industrials,Specialty Industrial Machinery
GMRAIRPORT.NS,Industrials,Airports & Air Services
GRSE.NS,Industrials,Aerospace & Defense
GICRE.NS,Financial Services,Insurance - Reinsurance
GILLETTE.NS,Consumer Defensive,Household & Personal Products
GLAND.NS,Healthcare,Drug Manufacturers - Specialty & Generic
GLAXO.NS,Healthcare,Drug Manufacturers - General
GLENMARK.NS,Healthcare,Drug Manufacturers - Specialty & Generic
MEDANTA.NS,Healthcare,Medical Care Facilities
GODIGIT.NS,Financial Services,Insurance - Property & Casualty
GPIL.NS,Basic Materials,Steel
GODFRYPHLP.NS,Consumer Defensive,Tobacco
GODREJAGRO.NS,Consumer Defensive,Packaged Foods
GODREJCP.NS,Consumer Defensive,Household & Personal Products
GODREJIND.NS,Industrials,Conglomerates
GODREJPROP.NS,Real Estate,Real Estate - Development
GRANULES.NS,Healthcare,Drug Manufacturers - Specialty & Generic
GRAPHITE.NS,Industrials,Electrical Equipment & Parts
GRASIM.NS,Basic Materials,Building Materials
GRAVITA.NS,Industrials,Metal Fabrication
GESHIP.NS,Industrials,Marine Shipping
FLUOROCHEM.NS,Basic Materials,Specialty Chemicals
GUJGASLTD.NS,Utilities,Utilities - Regulated Gas
GMDCLTD.NS,Energy,Thermal Coal
GNFC.NS,Basic Materials,Chemicals
GPPL.NS,Unknown,Unknown
GSPL.NS,Utilities,Utilities - Regulated Gas
HEG.NS,Unknown,Unknown
HBLENGINE.NS,Industrials,Electrical Equipment & Parts
HCLTECH.NS,Technology,Information Technology Services
HDFCAMC.NS,Unknown,Unknown
HDFCBANK.NS,Financial Services,Banks - Regional
HDFCLIFE.NS,Unknown,Unknown
HFCL.NS,Unknown,Unknown
HAPPSTMNDS.NS,Technology,Information Technology Services
HAVELLS.NS,Industrials,Electrical Equipment & Parts
HEROMOTOCO.NS,Consumer Cyclical,Auto Manufacturers
HSCL.NS,Basic Materials,Specialty Chemicals
HINDALCO.NS,Basic Materials,Aluminum
HAL.NS,Industrials,Aerospace & Defense
HINDCOPPER.NS,Basic Materials,Copper
HINDPETRO.NS,Energy,Oil & Gas Refining & Marketing
HINDUNILVR.NS,Consumer Defensive,Household & Personal Products
HINDZINC.NS,Basic Materials,Other Industrial Metals & Mining
POWERINDIA.NS,Industrials,Electrical Equipment & Parts
HOMEFIRST.NS,Financial Services,Mortgage Finance
HONASA.NS,Consumer Defensive,Household & Personal Products
HONAUT.NS,Industrials,Electrical Equipment & Parts
HUDCO.NS,Financial Services,Credit Services
HYUNDAI.NS,Consumer Cyclical,Auto Manufacturers
ICICIBANK.NS,Financial Services,Banks - Regional
ICICIGI.NS,Financial Services,Insurance - Diversified
ICICIPRULI.NS,Financial Services,Insurance - Life
IDBI.NS,Financial Services,Banks - Regional
IDFCFIRSTB.NS,Financial Services,Banks - Regional
IFCI.NS,Unknown,Unknown
IIFL.NS,Financial Services,Credit Services
INOXINDIA.NS,Industrials,Specialty Industrial Machinery
IRB.NS,Industrials,Infrastructure Operations
IRCON.NS,Industrials,Engineering & Construction
ITC.NS,Consumer Defensive,Tobacco
ITI.NS,Technology,Communication Equipment
INDGN.NS,Healthcare,Health Information Services
INDIACEM.NS,Basic Materials,Building Materials
INDIAMART.NS,Communication Services,Internet Content & Information
INDIANB.NS,Financial Services,Banks - Regional
IEX.NS,Financial Services,Capital Markets
INDHOTEL.NS,Consumer Cyclical,Lodging
IOC.NS,Unknown,Unknown
IOB.NS,Financial Services,Banks - Regional
IRCTC.NS,Industrials,Railroads
IRFC.NS,Financial Services,Credit Services
IREDA.NS,Unknown,Unknown
IGL.NS,Utilities,Utilities - Regulated Gas
INDUSTOWER.NS,Communication Services,Telecom Services
INDUSINDBK.NS,Financial Services,Banks - Regional
NAUKRI.NS,Communication Services,Internet Content & Information
INFY.NS,Technology,Information Technology Services
INOXWIND.NS,Industrials,Specialty Industrial Machinery
INTELLECT.NS,Technology,Software - Application
INDIGO.NS,Industrials,Airlines
IGIL.NS,Basic Materials,Other Precious Metals & Mining
IKS.NS,Healthcare,Health Information Services
IPCALAB.NS,Healthcare,Drug Manufacturers - Specialty & Generic
JBCHEPHARM.NS,Healthcare,Drug Manufacturers - Specialty & Generic
JKCEMENT.NS,Basic Materials,Building Materials
JBMA.NS,Consumer Cyclical,Auto Parts
JKTYRE.NS,Consumer Cyclical,Auto Parts
JMFINANCIL.NS,Financial Services,Capital Markets
JSWENERGY.NS,Utilities,Utilities - Independent Power Producers
JSWHL.NS,Industrials,Conglomerates
JSWINFRA.NS,Industrials,Marine Shipping
JSWSTEEL.NS,Basic Materials,Steel
JPPOWER.NS,Utilities,Utilities - Independent Power Producers
J&KBANK.NS,Financial Services,Banks - Regional
JINDALSAW.NS,Basic Materials,Steel
JSL.NS,Basic Materials,Steel
JINDALSTEL.NS,Basic Materials,Steel
JIOFIN.NS,Financial Services,Asset Management
JUBLFOOD.NS,Consumer Cyclical,Restaurants
JUBLINGREA.NS,Basic Materials,Specialty Chemicals
JUBLPHARMA.NS,Healthcare,Drug Manufacturers - Specialty & Generic
JWL.NS,Industrials,Railroads
JUSTDIAL.NS,Communication Services,Internet Content & Information
JYOTHYLAB.NS,Consumer Defensive,Household & Personal Products
JYOTICNC.NS,Industrials,Specialty Industrial Machinery
KPRMILL.NS,Consumer Cyclical,Textile Manufacturing
KEI.NS,Industrials,Electrical Equipment & Parts
KNRCON.NS,Industrials,Engineering & Construction
KPITTECH.NS,Technology,Software - Infrastructure
KAJARIACER.NS,Industrials,Building Products & Equipment
KPIL.NS,Industrials,Engineering & Construction
KALYANKJIL.NS,Consumer Cyclical,Luxury Goods
KANSAINER.NS,Basic Materials,Specialty Chemicals
KARURVYSYA.NS,Financial Services,Banks - Regional
KAYNES.NS,Industrials,Specialty Industrial Machinery
KEC.NS,Industrials,Engineering & Construction
KFINTECH.NS,Technology,Software - Application
KIRLOSBROS.NS,Industrials,Specialty Industrial Machinery
KIRLOSENG.NS,Industrials,Specialty Industrial Machinery
KOTAKBANK.NS,Financial Services,Banks - Regional
KIMS.NS,Healthcare,Medical Care Facilities
LTF.NS,Financial Services,Credit Services
LTTS.NS,Technology,Information Technology Services
LICHSGFIN.NS,Financial Services,Mortgage Finance
LTFOODS.NS,Consumer Defensive,Packaged Foods
LTIM.NS,Technology,Information Technology Services
LT.NS,Industrials,Engineering & Construction
LATENTVIEW.NS,Industrials,Consulting Services
LAURUSLABS.NS,Healthcare,Drug Manufacturers - Specialty & Generic
LEMONTREE.NS,Consumer Cyclical,Lodging
LICI.NS,Financial Services,Insurance - Life
LINDEINDIA.NS,Basic Materials,Specialty Chemicals
LLOYDSME.NS,Basic Materials,Steel
LUPIN.NS,Healthcare,Drug Manufacturers - Specialty & Generic
MMTC.NS,Industrials,Conglomerates
MRF.NS,Consumer Cyclical,Auto Parts
LODHA.NS,Real Estate,Real Estate - Development
MGL.NS,Utilities,Utilities - Regulated Gas
MAHSEAMLES.NS,Basic Materials,Steel
M&MFIN.NS,Financial Services,Credit Services
M&M.NS,Unknown,Unknown
MANAPPURAM.NS,Financial Services,Credit Services
MRPL.NS,Energy,Oil & Gas Refining & Marketing
MANKIND.NS,Unknown,Unknown
MARICO.NS,Consumer Defensive,Household & Personal Products
MARUTI.NS,Consumer Cyclical,Auto Manufacturers
MASTEK.NS,Technology,Information Technology Services
MFSL.NS,Unknown,Unknown
MAXHEALTH.NS,Healthcare,Medical Care Facilities
MAZDOCK.NS,Industrials,Aerospace & Defense
METROPOLIS.NS,Healthcare,Diagnostics & Research
MINDACORP.NS,Consumer Cyclical,Auto Parts
MSUMI.NS,Consumer Cyclical,Auto Parts
MOTILALOFS.NS,Financial Services,Capital Markets
MPHASIS.NS,Technology,Information Technology Services
MCX.NS,Financial Services,Financial Data & Stock Exchanges
MUTHOOTFIN.NS,Financial Services,Credit Services
NATCOPHARM.NS,Healthcare,Drug Manufacturers - Specialty & Generic
NBCC.NS,Industrials,Engineering & Construction
NCC.NS,Industrials,Engineering & Construction
NHPC.NS,Utilities,Utilities - Renewable
NLCINDIA.NS,Utilities,Utilities - Regulated Electric
NMDC.NS,Basic Materials,Steel
NSLNISP.NS,Basic Materials,Steel
NTPCGREEN.NS,Utilities,Utilities - Renewable
NTPC.NS,Utilities,Utilities - Regulated Electric
NH.NS,Healthcare,Medical Care Facilities
NATIONALUM.NS,Basic Materials,Aluminum
NAVA.NS,Industrials,Conglomerates
NAVINFLUOR.NS,Basic Materials,Chemicals
NESTLEIND.NS,Consumer Defensive,Packaged Foods
NETWEB.NS,Technology,Computer Hardware
NETWORK18.NS,Communication Services,Entertainment
NEULANDLAB.NS,Healthcare,Drug Manufacturers - Specialty & Generic
NEWGEN.NS,Technology,Software - Infrastructure
NAM-INDIA.NS,Financial Services,Asset Management
NIVABUPA.NS,Financial Services,Insurance - Life
NUVAMA.NS,Financial Services,Asset Management
OBEROIRLTY.NS,Real Estate,Real Estate - Development
ONGC.NS,Energy,Oil & Gas Integrated
OIL.NS,Energy,Oil & Gas Integrated
OLAELEC.NS,Consumer Cyclical,Auto Manufacturers
OLECTRA.NS,Industrials,Farm & Heavy Construction Machinery
PAYTM.NS,Technology,Software - Infrastructure
OFSS.NS,Technology,Software - Infrastructure
POLICYBZR.NS,Financial Services,Insurance Brokers
PCBL.NS,Basic Materials,Specialty Chemicals
PGEL.NS,Technology,Electronic Components
PIIND.NS,Basic Materials,Agricultural Inputs
PNBHOUSING.NS,Financial Services,Mortgage Finance
PNCINFRA.NS,Industrials,Engineering & Construction
PTCIL.NS,Industrials,Metal Fabrication
PVRINOX.NS,Communication Services,Entertainment
PAGEIND.NS,Consumer Cyclical,Apparel Manufacturing
PATANJALI.NS,Consumer Defensive,Packaged Foods
PERSISTENT.NS,Technology,Information Technology Services
PETRONET.NS,Energy,Oil & Gas Refining & Marketing
PFIZER.NS,Healthcare,Drug Manufacturers - General
PHOENIXLTD.NS,Real Estate,Real Estate - Diversified
PIDILITIND.NS,Basic Materials,Specialty Chemicals
PEL.NS,Financial Services,Financial Conglomerates
PPLPHARMA.NS,Healthcare,Drug Manufacturers - Specialty & Generic
POLYMED.NS,Healthcare,Medical Instruments & Supplies
POLYCAB.NS,Industrials,Electrical Equipment & Parts
POONAWALLA.NS,Financial Services,Credit Services
PFC.NS,Financial Services,Credit Services
POWERGRID.NS,Utilities,Utilities - Regulated Electric
PRAJIND.NS,Industrials,Engineering & Construction
PREMIERENE.NS,Technology,Solar
PRESTIGE.NS,Real Estate,Real Estate - Diversified
PNB.NS,Financial Services,Banks - Regional
RRKABEL.NS,Industrials,Electrical Equipment & Parts
RBLBANK.NS,Financial Services,Banks - Regional
RECLTD.NS,Financial Services,Credit Services
RHIM.NS,Industrials,Metal Fabrication
RITES.NS,Unknown,Unknown
RADICO.NS,Consumer Defensive,Beverages - Wineries & Distilleries
RVNL.NS,Industrials,Engineering & Construction
RAILTEL.NS,Communication Services,Telecom Services
RAINBOW.NS,Healthcare,Medical Care Facilities
RKFORGE.NS,Industrials,Metal Fabrication
RCF.NS,Basic Materials,Agricultural Inputs
RTNINDIA.NS,Consumer Cyclical,Internet Retail
RAYMONDLSL.NS,Consumer Cyclical,Apparel Manufacturing
RAYMOND.NS,Consumer Cyclical,Textile Manufacturing
REDINGTON.NS,Technology,Information Technology Services
RELIANCE.NS,Energy,Oil & Gas Refining & Marketing
RPOWER.NS,Utilities,Utilities - Independent Power Producers
ROUTE.NS,Communication Services,Telecom Services
SBFC.NS,Financial Services,Credit Services
SBICARD.NS,Unknown,Unknown
SBILIFE.NS,Financial Services,Insurance - Life
SJVN.NS,Utilities,Utilities - Renewable
SKFINDIA.NS,Industrials,Tools & Accessories
SRF.NS,Industrials,Conglomerates
SAGILITY.NS,Healthcare,Health Information Services
SAILIFE.NS,Healthcare,Diagnostics & Research
SAMMAANCAP.NS,Financial Services,Mortgage Finance
MOTHERSON.NS,Consumer Cyclical,Auto Parts
SAPPHIRE.NS,Consumer Cyclical,Restaurants
SARDAEN.NS,Basic Materials,Steel
SAREGAMA.NS,Communication Services,Entertainment
SCHAEFFLER.NS,Consumer Cyclical,Auto Parts
SCHNEIDER.NS,Industrials,Electrical Equipment & Parts
SCI.NS,Industrials,Marine Shipping
SHREECEM.NS,Basic Materials,Building Materials
RENUKA.NS,Consumer Defensive,Confectioners
SHRIRAMFIN.NS,Financial Services,Credit Services
SHYAMMETL.NS,Basic Materials,Steel
ENRIN.NS,Utilities,Utilities - Renewable
SIEMENS.NS,Industrials,Specialty Industrial Machinery
SIGNATURE.NS,Real Estate,Real Estate - Development
SOBHA.NS,Real Estate,Real Estate - Development
SOLARINDS.NS,Basic Materials,Specialty Chemicals
SONACOMS.NS,Consumer Cyclical,Auto Parts
SONATSOFTW.NS,Technology,Information Technology Services
STARHEALTH.NS,Financial Services,Insurance - Diversified
SBIN.NS,Financial Services,Banks - Regional
SAIL.NS,Basic Materials,Steel
SWSOLAR.NS,Technology,Solar
SUMICHEM.NS,Basic Materials,Agricultural Inputs
SUNPHARMA.NS,Healthcare,Drug Manufacturers - Specialty & Generic
SUNTV.NS,Communication Services,Broadcasting
SUNDARMFIN.NS,Financial Services,Credit Services
SUNDRMFAST.NS,Consumer Cyclical,Auto Parts
SUPREMEIND.NS,Industrials,Building Products & Equipment
SUZLON.NS,Industrials,Specialty Industrial Machinery
SWANENERGY.NS,Industrials,Conglomerates
SWIGGY.NS,Consumer Cyclical,Internet Retail
SYNGENE.NS,Healthcare,Diagnostics & Research
SYRMA.NS,Technology,Electronic Components
TBOTEK.NS,Consumer Cyclical,Travel Services
TVSMOTOR.NS,Consumer Cyclical,Auto Manufacturers
TANLA.NS,Technology,Software - Application
TATACHEM.NS,Basic Materials,Chemicals
TATACOMM.NS,Communication Services,Telecom Services
TCS.NS,Technology,Information Technology Services
TATACONSUM.NS,Consumer Defensive,Packaged Foods
TATAELXSI.NS,Technology,Software - Application
TATAINVEST.NS,Financial Services,Capital Markets
TATAMOTORS.NS,Consumer Cyclical,Auto Manufacturers
TATAPOWER.NS,Utilities,Utilities - Independent Power Producers
TATASTEEL.NS,Basic Materials,Steel
TATATECH.NS,Technology,Information Technology Services
TTML.NS,Communication Services,Telecom Services
TECHM.NS,Technology,Information Technology Services
TECHNOE.NS,Industrials,Engineering & Construction
TEJASNET.NS,Technology,Communication Equipment
NIACL.NS,Financial Services,Insurance - Diversified
RAMCOCEM.NS,Basic Materials,Building Materials
THERMAX.NS,Industrials,Conglomerates
TIMKEN.NS,Industrials,Tools & Accessories
TITAGARH.NS,Industrials,Railroads
TITAN.NS,Consumer Cyclical,Luxury Goods
TORNTPHARM.NS,Healthcare,Drug Manufacturers - Specialty & Generic
TORNTPOWER.NS,Utilities,Utilities - Independent Power Producers
TARIL.NS,Industrials,Electrical Equipment & Parts
TRENT.NS,Consumer Cyclical,Apparel Retail
TRIDENT.NS,Consumer Cyclical,Textile Manufacturing
TRIVENI.NS,Consumer Defensive,Confectioners
TRITURBINE.NS,Industrials,Specialty Industrial Machinery
TIINDIA.NS,Industrials,Conglomerates
UCOBANK.NS,Financial Services,Banks - Regional
UNOMINDA.NS,Consumer Cyclical,Auto Parts
UPL.NS,Basic Materials,Agricultural Inputs
UTIAMC.NS,Financial Services,Asset Management
ULTRACEMCO.NS,Basic Materials,Building Materials
UNIONBANK.NS,Financial Services,Banks - Regional
UBL.NS,Consumer Defensive,Beverages - Brewers
UNITDSPR.NS,Consumer Defensive,Beverages - Wineries & Distilleries
USHAMART.NS,Basic Materials,Steel
VGUARD.NS,Industrials,Electrical Equipment & Parts
DBREALTY.NS,Real Estate,Real Estate - Development
VTL.NS,Consumer Cyclical,Textile Manufacturing
VBL.NS,Consumer Defensive,Beverages - Non-Alcoholic
MANYAVAR.NS,Consumer Cyclical,Apparel Manufacturing
VEDL.NS,Basic Materials,Other Industrial Metals & Mining
VIJAYA.NS,Healthcare,Diagnostics & Research
VMM.NS,Consumer Cyclical,Department Stores
IDEA.NS,Unknown,Unknown
VOLTAS.NS,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
WAAREEENER.NS,Technology,Solar
WELCORP.NS,Basic Materials,Steel
WELSPUNLIV.NS,Consumer Cyclical,Textile Manufacturing
WESTLIFE.NS,Consumer Cyclical,Restaurants
WHIRLPOOL.NS,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
WIPRO.NS,Technology,Information Technology Services
WOCKPHARMA.NS,Healthcare,Drug Manufacturers - Specialty & Generic
YESBANK.NS,Financial Services,Banks - Regional
ZFCVINDIA.NS,Consumer Cyclical,Auto Parts
ZEEL.NS,Communication Services,Broadcasting
ZENTEC.NS,Industrials,Aerospace & Defense
ZENSARTECH.NS,Technology,Information Technology Services
ZYDUSLIFE.NS,Healthcare,Drug Manufacturers - Specialty & Generic
ECLERX.NS,Technology,Information Technology Services
